trial,coCond Force(0) Move(1),ffCond0 [N/(mm/s)],ffCond1 [N/(mm/s)],ffCond2 [N/(mm/s)],ffCond3 [N/(mm/s)],ffCond4 [N/(mm/s)],ffCond5 [N/(mm/s)],ffCond6 [N/(mm/s)],ffCond7 [N/(mm/s)],vmCond [deg],targetAngle[deg],targetDistance[mm],targetForce[N],targetColor,errorCramp
1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000
fs[Hz],recordTime[ms],maxSample,ks[N/mm],kb[N/(mm/s)],kConnection[N/mm],dConnection[N/(mm/s)],VisNoisePosSTD,VisNoiseVelSTD,ConnectionType
1000,15000,15001,0.800000,0.000100,0.100000,0.000100,10.0,5.0,0
targetRadius[mm],cursorRadius[mm],pOffset[mm], , ,dOffset
5.000000,3.000000,0.000000,450.000000,10.000000,0.000000,0.000000,0.000000
p2dScale,p2dScaleForForce,p2dMatrix
1.000000,-nan(ind),1.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,1.000000,0.000000
 , , ,
 , , ,
 , , ,
time[ms],instRate[Hz],posX[mm],posY[mm],posZ[mm],velX[mm],velY[mm],velZ[mm],forceX[N],forceY[N],forceZ[N],TargetX,TargetY
10432,1002.440430,6.280498,160.375244,-0.358826,0.134578,0.114441,0.197537,0.000000,-0.000000,0.287061,20.163197,9.930758
10433,997.877380,6.280228,160.377792,-0.352600,0.061028,0.429349,0.994357,0.000000,-0.000000,0.287061,20.380342,10.040543
10434,970.810669,6.280228,160.377792,-0.352600,0.007596,0.658139,1.573283,0.000000,-0.000000,0.282080,20.597175,10.149987
10435,1011.401123,6.280228,160.377792,-0.352600,0.005519,0.478166,1.143057,0.000000,-0.000000,0.282080,20.813693,10.259088
10436,1018.449158,6.280228,160.377792,-0.352600,0.004009,0.347408,0.830480,0.000000,-0.000000,0.282080,21.029894,10.367841
10437,1005.025513,6.280228,160.377792,-0.352600,0.002913,0.252407,0.603379,0.000000,-0.000000,0.282080,21.245773,10.476244
10438,996.176941,6.280228,160.377792,-0.352600,0.002116,0.183384,0.438380,0.000000,-0.000000,0.282080,21.461328,10.584293
10439,1016.677979,6.280228,160.377792,-0.352600,0.001538,0.133236,0.318502,0.000000,-0.000000,0.282080,21.676555,10.691986
10440,960.180420,6.280228,160.377792,-0.352600,0.001117,0.096802,0.231405,0.000000,-0.000000,0.282080,21.891452,10.799319
10441,1021.117615,6.280228,160.377792,-0.352600,0.000812,0.070331,0.168126,0.000000,-0.000000,0.282080,22.106015,10.906288
10442,1004.449890,6.280228,160.377792,-0.352600,0.000590,0.051098,0.122150,0.000000,-0.000000,0.282080,22.320240,11.012892
10443,998.729797,6.280228,160.377792,-0.352600,0.000428,0.037125,0.088748,0.000000,-0.000000,0.282080,22.534125,11.119125
10444,975.942932,6.280228,160.377792,-0.352600,0.000311,0.026973,0.064479,0.000000,-0.000000,0.282080,22.747666,11.224986
10445,1026.196289,6.280228,160.377792,-0.352600,0.000226,0.019597,0.046847,0.000000,-0.000000,0.282080,22.960861,11.330471
